"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: stroke (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:51:13 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0002","0.0010","0.0000","0.0000","0.0002","0.0012","0.0000","0.0093","41.0186","0.0000","22.2166","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0002","0.0010","0.0000","0.0000","0.0002","0.0013","0.0000","0.0093","40.4151","0.0000","20.5616","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0003","0.0020","0.0000","0.0000","0.0002","0.0015","0.0000","0.0093","39.8077","0.0000","18.8889","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0003","0.0020","0.0000","0.0000","0.0002","0.0017","0.0000","0.0092","39.1945","0.0000","17.2770","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0003","0.0020","0.0000","0.0000","0.0003","0.0020","0.0000","0.0091","38.5730","0.0000","15.7669","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0003","0.0020","0.0000","0.0000","0.0003","0.0022","0.0000","0.0090","37.9420","0.0000","14.4643","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0003","0.0020","0.0000","0.0000","0.0003","0.0025","0.0000","0.0088","37.3012","0.0000","13.3147","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0005","0.0040","0.0000","0.0000","0.0004","0.0029","0.0000","0.0086","36.6503","0.0000","12.2647","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0005","0.0040","0.0000","0.0000","0.0004","0.0033","0.0000","0.0085","35.9893","0.0000","11.2754","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0005","0.0040","0.0000","0.0000","0.0005","0.0037","0.0000","0.0083","35.3180","0.0000","10.3188","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
