"DisMod II input and output, database Australia",,,,,,,,,,,,
"Males, Disease: diabetes mellitus type 2              (Rates * ), sex: Males",,,,,,,,,,,,
"Written 27/07/2020, 4:41:01 PM",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
62,0.0073,0.1328,0,0.0002,0.0084,0.1346,0,0.0005,21.4839,0.0001,1.0582,62.5
63,0.0073,0.1328,0,0.0002,0.0085,0.1419,0,0.0005,20.6731,0.0001,1.053,63.5
64,0.0073,0.1328,0,0.0002,0.0086,0.1491,0,0.0005,19.8708,0.0001,1.048,64.5
65,0.0071,0.165,0,0.0003,0.0086,0.1563,0,0.0005,19.0776,0.0001,1.0432,65.5
66,0.0071,0.165,0,0.0003,0.0086,0.1635,0,0.0005,18.2939,0.0001,1.0387,66.5
67,0.0071,0.165,0,0.0003,0.0086,0.1707,0,0.0004,17.5204,0.0001,1.0344,67.5
68,0.0071,0.165,0,0.0003,0.0085,0.1777,0,0.0004,16.7579,0.0001,1.0303,68.5
69,0.0071,0.165,0,0.0003,0.0085,0.1846,0,0.0004,16.007,0.0001,1.0266,69.5
70,0.0065,0.1936,0,0.0005,0.0084,0.1913,0,0.0004,15.2686,0.0001,1.0232,70.5
71,0.0065,0.1936,0,0.0005,0.0083,0.198,0,0.0004,14.5435,0.0001,1.0201,71.5
72,0.0065,0.1936,0,0.0005,0.0081,0.2045,0,0.0004,13.8323,0.0001,1.0173,72.5
73,0.0065,0.1936,0,0.0005,0.0079,0.2108,0,0.0003,13.1358,0.0001,1.0147,73.5
74,0.0065,0.1936,0,0.0005,0.0077,0.2169,0,0.0003,12.4547,0.0001,1.0125,74.5
75,0.0055,0.2152,0,0.0009,0.0075,0.2228,0,0.0003,11.79,0.0001,1.0106,75.5
76,0.0055,0.2152,0,0.0009,0.0072,0.2284,0,0.0003,11.1428,0.0001,1.0089,76.5
77,0.0055,0.2152,0,0.0009,0.007,0.2338,0,0.0003,10.5144,0.0001,1.0075,77.5
78,0.0055,0.2152,0,0.0009,0.0066,0.239,0,0.0003,9.9068,0.0001,1.0062,78.5
79,0.0055,0.2152,0,0.0009,0.0063,0.2438,0,0.0002,9.3215,0.0001,1.0051,79.5
80,0.0039,0.2276,0,0.0016,0.0059,0.2484,0,0.0002,8.7603,0.0001,1.0042,80.5
81,0.0039,0.2276,0,0.0016,0.0054,0.2525,0,0.0002,8.2241,0.0001,1.0034,81.5
82,0.0039,0.2276,0,0.0016,0.005,0.2564,0,0.0002,7.7137,0,1.0028,82.5
83,0.0039,0.2276,0,0.0016,0.0045,0.2598,0,0.0002,7.2293,0,1.0023,83.5
84,0.0039,0.2276,0,0.0016,0.0039,0.2629,0,0.0002,6.7712,0,1.0019,84.5
85,0.0016,0.2253,0,0.0025,0.0034,0.2655,0,0.0001,6.3404,0,1.0016,85.5
86,0.0016,0.2253,0,0.0025,0.0029,0.2678,0,0.0001,5.9398,0,1.0013,86.5
87,0.0016,0.2253,0,0.0025,0.0024,0.2698,0,0.0001,5.5737,0,1.001,87.5
88,0.0016,0.2253,0,0.0025,0.002,0.2714,0,0.0001,5.2489,0,1.0008,88.5
89,0.0016,0.2253,0,0.0025,0.0016,0.2727,0,0.0001,4.9706,0,1.0007,89.5
90,0.0003,0.209,0,0.0037,0.0013,0.2737,0,0.0001,4.7379,0,1.0006,90.5
91,0.0003,0.209,0,0.0037,0.001,0.2746,0,0.0001,4.54,0,1.0005,91.5
92,0.0003,0.209,0,0.0037,0.0008,0.2752,0,0.0001,4.3524,0,1.0004,92.5
93,0.0003,0.209,0,0.0037,0.0006,0.2757,0,0.0001,4.1353,0,1.0004,93.5
94,0.0003,0.209,0,0.0037,0.0005,0.2761,0,0.0001,3.8369,0,1.0004,94.5
95,0.0002,0.1848,0,0.005,0.0004,0.2764,0,0.0001,3.5611,0,1.0003,95.5
96,0.0002,0.1848,0,0.005,0.0003,0.2767,0,0.0001,3.3787,0,1.0003,96.5
97,0.0002,0.1848,0,0.005,0.0003,0.2769,0,0.0001,3.2227,0,1.0002,97.5
98,0.0002,0.1848,0,0.005,0.0003,0.2771,0,0.0001,3.098,0,1.0002,98.5
99,0.0002,0.1848,0,0.005,0.0003,0.2773,0,0.0001,3.0126,0,1.0002,99.5
100+,0.0002,0.1848,0,0.005,0.0003,0.2775,0,0.0001,2.98,0,1.0002,102.4802
,,,,,,,,,,,,
All ages,NA,0.0679,NA,0.0002,0.0039,0.0708,0,0.0003,26.4905,0,1.0567,56.2113
