"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: chronic obstructive pulmonary disease (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:01:23 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"46","0.0022","0.0273","0.0000","0.0000","0.0020","0.0261","0.0000","0.0007","33.5315","0.0000","1.3098","46.5000"
"47","0.0022","0.0273","0.0000","0.0000","0.0022","0.0281","0.0000","0.0007","32.6281","0.0000","1.3153","47.5000"
"48","0.0022","0.0273","0.0000","0.0000","0.0023","0.0303","0.0000","0.0008","31.7297","0.0000","1.3187","48.5000"
"49","0.0022","0.0273","0.0000","0.0000","0.0025","0.0326","0.0000","0.0009","30.8369","0.0000","1.3238","49.5000"
"50","0.0034","0.0408","0.0000","0.0001","0.0028","0.0352","0.0000","0.0010","29.9502","0.0000","1.3287","50.5000"
"51","0.0034","0.0408","0.0000","0.0001","0.0030","0.0379","0.0000","0.0011","29.0701","0.0000","1.3332","51.5000"
"52","0.0034","0.0408","0.0000","0.0001","0.0033","0.0409","0.0000","0.0012","28.1970","0.0000","1.3373","52.5000"
"53","0.0034","0.0408","0.0000","0.0001","0.0036","0.0441","0.0000","0.0013","27.3312","0.0001","1.3410","53.5000"
"54","0.0034","0.0408","0.0000","0.0001","0.0039","0.0476","0.0000","0.0014","26.4731","0.0001","1.3440","54.5000"
"55","0.0052","0.0614","0.0000","0.0001","0.0043","0.0514","0.0000","0.0016","25.6232","0.0001","1.3509","55.5000"
"56","0.0052","0.0614","0.0000","0.0001","0.0047","0.0556","0.0000","0.0018","24.7820","0.0001","1.3584","56.5000"
"57","0.0052","0.0614","0.0000","0.0001","0.0052","0.0602","0.0000","0.0020","23.9498","0.0001","1.3663","57.5000"
"58","0.0052","0.0614","0.0000","0.0001","0.0057","0.0652","0.0000","0.0022","23.1271","0.0001","1.3740","58.5000"
"59","0.0052","0.0614","0.0000","0.0001","0.0063","0.0706","0.0000","0.0024","22.3141","0.0002","1.3812","59.5000"
"60","0.0078","0.0927","0.0000","0.0003","0.0069","0.0765","0.0000","0.0027","21.5110","0.0002","1.3876","60.5000"
"61","0.0078","0.0927","0.0000","0.0003","0.0075","0.0829","0.0000","0.0030","20.7181","0.0002","1.3942","61.5000"
"62","0.0078","0.0927","0.0000","0.0003","0.0081","0.0898","0.0000","0.0033","19.9357","0.0003","1.3980","62.5000"
