"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: colon and rectum cancer (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:03:50 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"46","0.0004","0.0026","0.0000","0.0000","0.0003","0.0025","0.0000","0.0072","24.4203","0.0000","4.3363","46.5000"
"47","0.0004","0.0026","0.0000","0.0000","0.0003","0.0028","0.0000","0.0076","23.6510","0.0000","4.2738","47.5000"
"48","0.0004","0.0026","0.0000","0.0000","0.0004","0.0031","0.0000","0.0080","22.8879","0.0000","4.1974","48.5000"
"49","0.0004","0.0026","0.0000","0.0000","0.0004","0.0035","0.0000","0.0085","22.1315","0.0000","4.1285","49.5000"
"50","0.0007","0.0048","0.0000","0.0001","0.0005","0.0039","0.0000","0.0090","21.3828","0.0000","4.0615","50.5000"
"51","0.0007","0.0048","0.0000","0.0001","0.0005","0.0044","0.0000","0.0096","20.6422","0.0000","3.9966","51.5000"
"52","0.0007","0.0048","0.0000","0.0001","0.0006","0.0049","0.0000","0.0102","19.9103","0.0000","3.9342","52.5000"
"53","0.0007","0.0048","0.0000","0.0001","0.0006","0.0054","0.0000","0.0109","19.1874","0.0001","3.8747","53.5000"
"54","0.0007","0.0048","0.0000","0.0001","0.0007","0.0060","0.0000","0.0117","18.4736","0.0001","3.8174","54.5000"
"55","0.0011","0.0074","0.0000","0.0001","0.0008","0.0067","0.0000","0.0126","17.7702","0.0001","3.7878","55.5000"
"56","0.0011","0.0074","0.0000","0.0001","0.0009","0.0074","0.0000","0.0136","17.0787","0.0001","3.7685","56.5000"
"57","0.0011","0.0074","0.0000","0.0001","0.0010","0.0082","0.0000","0.0148","16.3999","0.0001","3.7564","57.5000"
"58","0.0011","0.0074","0.0000","0.0001","0.0011","0.0091","0.0000","0.0160","15.7345","0.0001","3.7489","58.5000"
"59","0.0011","0.0074","0.0000","0.0001","0.0012","0.0100","0.0000","0.0174","15.0830","0.0002","3.7431","59.5000"
"60","0.0018","0.0119","0.0000","0.0003","0.0013","0.0110","0.0000","0.0189","14.4457","0.0002","3.7368","60.5000"
"61","0.0018","0.0119","0.0000","0.0003","0.0014","0.0122","0.0000","0.0206","13.8231","0.0003","3.7373","61.5000"
"62","0.0018","0.0119","0.0000","0.0003","0.0016","0.0134","0.0000","0.0223","13.2156","0.0003","3.7261","62.5000"
"63","0.0018","0.0119","0.0000","0.0003","0.0017","0.0147","0.0000","0.0242","12.6224","0.0004","3.7036","63.5000"
"64","0.0018","0.0119","0.0000","0.0003","0.0018","0.0160","0.0000","0.0261","12.0427","0.0004","3.6700","64.5000"
"65","0.0026","0.0170","0.0000","0.0007","0.0020","0.0174","0.0000","0.0281","11.4757","0.0005","3.6256","65.5000"
"66","0.0026","0.0170","0.0000","0.0007","0.0021","0.0189","0.0000","0.0301","10.9206","0.0006","3.5708","66.5000"
"67","0.0026","0.0170","0.0000","0.0007","0.0023","0.0205","0.0000","0.0324","10.3772","0.0007","3.5159","67.5000"
"68","0.0026","0.0170","0.0000","0.0007","0.0024","0.0220","0.0000","0.0347","9.8453","0.0008","3.4539","68.5000"
"69","0.0026","0.0170","0.0000","0.0007","0.0025","0.0237","0.0000","0.0372","9.3244","0.0009","3.3856","69.5000"
