"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: chronic obstructive pulmonary disease (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 5:02:07 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"46","0.0024","0.0333","0.0000","0.0000","0.0023","0.0319","0.0000","0.0004","37.4415","0.0000","1.2984","46.5000"
"47","0.0024","0.0333","0.0000","0.0000","0.0024","0.0342","0.0000","0.0004","36.5051","0.0000","1.3084","47.5000"
"48","0.0024","0.0333","0.0000","0.0000","0.0026","0.0366","0.0000","0.0005","35.5734","0.0000","1.3188","48.5000"
"49","0.0024","0.0333","0.0000","0.0000","0.0027","0.0391","0.0000","0.0006","34.6466","0.0000","1.3342","49.5000"
"50","0.0031","0.0468","0.0000","0.0000","0.0029","0.0417","0.0000","0.0006","33.7249","0.0000","1.3501","50.5000"
"51","0.0031","0.0468","0.0000","0.0000","0.0030","0.0445","0.0000","0.0007","32.8084","0.0000","1.3662","51.5000"
"52","0.0031","0.0468","0.0000","0.0000","0.0032","0.0474","0.0000","0.0008","31.8973","0.0000","1.3818","52.5000"
"53","0.0031","0.0468","0.0000","0.0000","0.0034","0.0505","0.0000","0.0009","30.9918","0.0000","1.3967","53.5000"
"54","0.0031","0.0468","0.0000","0.0000","0.0036","0.0537","0.0000","0.0010","30.0919","0.0001","1.4104","54.5000"
"55","0.0041","0.0644","0.0000","0.0001","0.0038","0.0571","0.0000","0.0011","29.1980","0.0001","1.4279","55.5000"
"56","0.0041","0.0644","0.0000","0.0001","0.0041","0.0608","0.0000","0.0013","28.3106","0.0001","1.4449","56.5000"
"57","0.0041","0.0644","0.0000","0.0001","0.0044","0.0647","0.0000","0.0014","27.4298","0.0001","1.4610","57.5000"
"58","0.0041","0.0644","0.0000","0.0001","0.0047","0.0688","0.0000","0.0016","26.5560","0.0001","1.4755","58.5000"
"59","0.0041","0.0644","0.0000","0.0001","0.0051","0.0733","0.0000","0.0018","25.6894","0.0001","1.4882","59.5000"
"60","0.0061","0.0889","0.0000","0.0002","0.0056","0.0781","0.0000","0.0020","24.8302","0.0002","1.4990","60.5000"
"61","0.0061","0.0889","0.0000","0.0002","0.0060","0.0833","0.0000","0.0022","23.9788","0.0002","1.5095","61.5000"
"62","0.0061","0.0889","0.0000","0.0002","0.0065","0.0888","0.0000","0.0024","23.1354","0.0002","1.5164","62.5000"
"63","0.0061","0.0889","0.0000","0.0002","0.0070","0.0947","0.0000","0.0027","22.2999","0.0003","1.5199","63.5000"
"64","0.0061","0.0889","0.0000","0.0002","0.0074","0.1009","0.0000","0.0029","21.4724","0.0003","1.5200","64.5000"
"65","0.0083","0.1239","0.0000","0.0005","0.0079","0.1075","0.0000","0.0032","20.6531","0.0003","1.5166","65.5000"
"66","0.0083","0.1239","0.0000","0.0005","0.0084","0.1144","0.0000","0.0034","19.8422","0.0004","1.5097","66.5000"
"67","0.0083","0.1239","0.0000","0.0005","0.0088","0.1216","0.0000","0.0037","19.0402","0.0005","1.5012","67.5000"
"68","0.0083","0.1239","0.0000","0.0005","0.0091","0.1289","0.0000","0.0040","18.2478","0.0005","1.4897","68.5000"
"69","0.0083","0.1239","0.0000","0.0005","0.0093","0.1364","0.0000","0.0043","17.4658","0.0006","1.4757","69.5000"
"70","0.0085","0.1643","0.0000","0.0010","0.0095","0.1440","0.0000","0.0046","16.6948","0.0007","1.4598","70.5000"
"71","0.0085","0.1643","0.0000","0.0010","0.0096","0.1515","0.0000","0.0050","15.9354","0.0008","1.4425","71.5000"
"72","0.0085","0.1643","0.0000","0.0010","0.0096","0.1590","0.0000","0.0053","15.1884","0.0008","1.4244","72.5000"
"73","0.0085","0.1643","0.0000","0.0010","0.0095","0.1662","0.0000","0.0057","14.4542","0.0010","1.4072","73.5000"
"74","0.0085","0.1643","0.0000","0.0010","0.0095","0.1733","0.0000","0.0061","13.7337","0.0011","1.3895","74.5000"
"75","0.0070","0.1986","0.0000","0.0016","0.0093","0.1801","0.0000","0.0066","13.0275","0.0012","1.3711","75.5000"
"76","0.0070","0.1986","0.0000","0.0016","0.0092","0.1866","0.0000","0.0070","12.3366","0.0013","1.3519","76.5000"
"77","0.0070","0.1986","0.0000","0.0016","0.0090","0.1929","0.0000","0.0075","11.6625","0.0014","1.3317","77.5000"
"78","0.0070","0.1986","0.0000","0.0016","0.0089","0.1989","0.0000","0.0080","11.0068","0.0016","1.3108","78.5000"
"79","0.0070","0.1986","0.0000","0.0016","0.0087","0.2045","0.0000","0.0086","10.3717","0.0018","1.2919","79.5000"
"80","0.0062","0.2230","0.0000","0.0026","0.0086","0.2099","0.0000","0.0092","9.7593","0.0019","1.2743","80.5000"
"81","0.0062","0.2230","0.0000","0.0026","0.0085","0.2151","0.0000","0.0099","9.1713","0.0021","1.2581","81.5000"
"82","0.0062","0.2230","0.0000","0.0026","0.0085","0.2200","0.0000","0.0107","8.6090","0.0024","1.2434","82.5000"
"83","0.0062","0.2230","0.0000","0.0026","0.0086","0.2247","0.0000","0.0115","8.0731","0.0026","1.2300","83.5000"
"84","0.0062","0.2230","0.0000","0.0026","0.0087","0.2293","0.0000","0.0124","7.5650","0.0029","1.2172","84.5000"
"85","0.0070","0.2427","0.0000","0.0042","0.0089","0.2337","0.0000","0.0134","7.0871","0.0031","1.2049","85.5000"
"86","0.0070","0.2427","0.0000","0.0042","0.0094","0.2382","0.0000","0.0145","6.6439","0.0034","1.1913","86.5000"
"87","0.0070","0.2427","0.0000","0.0042","0.0099","0.2428","0.0000","0.0155","6.2428","0.0038","1.1765","87.5000"
"88","0.0070","0.2427","0.0000","0.0042","0.0106","0.2475","0.0000","0.0166","5.8949","0.0041","1.1608","88.5000"
"89","0.0070","0.2427","0.0000","0.0042","0.0115","0.2526","0.0000","0.0177","5.6113","0.0045","1.1467","89.5000"
"90","0.0111","0.2684","0.0000","0.0058","0.0124","0.2580","0.0000","0.0188","5.3981","0.0049","1.1361","90.5000"
"91","0.0111","0.2684","0.0000","0.0058","0.0136","0.2639","0.0000","0.0200","5.2503","0.0053","1.1307","91.5000"
"92","0.0111","0.2684","0.0000","0.0058","0.0148","0.2703","0.0000","0.0213","5.1466","0.0058","1.1318","92.5000"
"93","0.0111","0.2684","0.0000","0.0058","0.0160","0.2771","0.0000","0.0225","5.0443","0.0062","1.1418","93.5000"
"94","0.0111","0.2684","0.0000","0.0058","0.0173","0.2844","0.0000","0.0238","4.8806","0.0068","1.1653","94.5000"
"95","0.0166","0.3108","0.0000","0.0098","0.0186","0.2922","0.0000","0.0251","4.7245","0.0073","1.1447","95.5000"
"96","0.0166","0.3108","0.0000","0.0098","0.0200","0.3004","0.0000","0.0265","4.6392","0.0080","1.1463","96.5000"
"97","0.0166","0.3108","0.0000","0.0098","0.0212","0.3089","0.0000","0.0277","4.5740","0.0085","1.1476","97.5000"
"98","0.0166","0.3108","0.0000","0.0098","0.0225","0.3178","0.0000","0.0290","4.5281","0.0092","1.1500","98.5000"
"99","0.0166","0.3108","0.0000","0.0098","0.0237","0.3270","0.0000","0.0302","4.5011","0.0099","1.1523","99.5000"
"100+","0.0166","0.3108","0.0000","0.0098","0.0241","0.3362","0.0000","0.0306","4.4922","0.0103","1.1513","104.4153"
"","","","","","","","","","","","",""
"All ages","NA","0.0590","NA","0.0004","0.0036","0.0597","0.0000","0.0061","23.0329","0.0004","1.2769","63.0361"
