"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Females, Disease: Uterine cancer (Rates * ), sex: Females","","","","","","","","","","","",""
"Written 27/07/2020, 4:58:58 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"46","0.0002","0.0016","0.0000","0.0000","0.0001","0.0011","0.0000","0.0068","32.2496","0.0000","6.3767","46.5000"
"47","0.0002","0.0016","0.0000","0.0000","0.0002","0.0012","0.0000","0.0071","31.5133","0.0000","6.0788","47.5000"
"48","0.0002","0.0016","0.0000","0.0000","0.0002","0.0014","0.0000","0.0074","30.7828","0.0000","5.8397","48.5000"
"49","0.0002","0.0016","0.0000","0.0000","0.0002","0.0016","0.0000","0.0076","30.0587","0.0000","5.6234","49.5000"
"50","0.0003","0.0028","0.0000","0.0000","0.0002","0.0018","0.0000","0.0079","29.3402","0.0000","5.3973","50.5000"
"51","0.0003","0.0028","0.0000","0.0000","0.0003","0.0020","0.0000","0.0081","28.6257","0.0000","5.1640","51.5000"
"52","0.0003","0.0028","0.0000","0.0000","0.0003","0.0022","0.0000","0.0083","27.9139","0.0000","4.9254","52.5000"
"53","0.0003","0.0028","0.0000","0.0000","0.0003","0.0025","0.0000","0.0084","27.2033","0.0000","4.6831","53.5000"
"54","0.0003","0.0028","0.0000","0.0000","0.0003","0.0028","0.0000","0.0085","26.4928","0.0000","4.4389","54.5000"
"55","0.0005","0.0041","0.0000","0.0000","0.0004","0.0031","0.0000","0.0086","25.7819","0.0000","4.2155","55.5000"
"56","0.0005","0.0041","0.0000","0.0000","0.0004","0.0035","0.0000","0.0087","25.0715","0.0000","4.0241","56.5000"
"57","0.0005","0.0041","0.0000","0.0000","0.0004","0.0039","0.0000","0.0089","24.3629","0.0000","3.8588","57.5000"
"58","0.0005","0.0041","0.0000","0.0000","0.0005","0.0043","0.0000","0.0092","23.6576","0.0000","3.7146","58.5000"
"59","0.0005","0.0041","0.0000","0.0000","0.0005","0.0048","0.0000","0.0095","22.9566","0.0000","3.5880","59.5000"
"60","0.0006","0.0053","0.0000","0.0001","0.0005","0.0052","0.0000","0.0099","22.2611","0.0001","3.4760","60.5000"
"61","0.0006","0.0053","0.0000","0.0001","0.0006","0.0057","0.0000","0.0103","21.5718","0.0001","3.3698","61.5000"
"62","0.0006","0.0053","0.0000","0.0001","0.0006","0.0062","0.0000","0.0106","20.8885","0.0001","3.2570","62.5000"
"63","0.0006","0.0053","0.0000","0.0001","0.0006","0.0068","0.0000","0.0110","20.2105","0.0001","3.1398","63.5000"
"64","0.0006","0.0053","0.0000","0.0001","0.0007","0.0074","0.0000","0.0113","19.5371","0.0001","3.0187","64.5000"
"65","0.0007","0.0058","0.0000","0.0001","0.0007","0.0079","0.0000","0.0116","18.8678","0.0001","2.8942","65.5000"
"66","0.0007","0.0058","0.0000","0.0001","0.0007","0.0085","0.0000","0.0119","18.2022","0.0001","2.7667","66.5000"
"67","0.0007","0.0058","0.0000","0.0001","0.0007","0.0091","0.0000","0.0121","17.5400","0.0001","2.6343","67.5000"
"68","0.0007","0.0058","0.0000","0.0001","0.0007","0.0097","0.0000","0.0123","16.8812","0.0001","2.5023","68.5000"
"69","0.0007","0.0058","0.0000","0.0001","0.0007","0.0103","0.0000","0.0124","16.2261","0.0001","2.3732","69.5000"
"70","0.0007","0.0055","0.0000","0.0002","0.0007","0.0109","0.0000","0.0126","15.5751","0.0001","2.2490","70.5000"
"71","0.0007","0.0055","0.0000","0.0002","0.0007","0.0114","0.0000","0.0127","14.9286","0.0001","2.1313","71.5000"
"72","0.0007","0.0055","0.0000","0.0002","0.0007","0.0120","0.0000","0.0128","14.2870","0.0002","2.0214","72.5000"
"73","0.0007","0.0055","0.0000","0.0002","0.0007","0.0126","0.0000","0.0130","13.6510","0.0002","1.9214","73.5000"
"74","0.0007","0.0055","0.0000","0.0002","0.0007","0.0132","0.0000","0.0131","13.0213","0.0002","1.8312","74.5000"
"75","0.0007","0.0052","0.0000","0.0002","0.0007","0.0137","0.0000","0.0133","12.3994","0.0002","1.7493","75.5000"
"76","0.0007","0.0052","0.0000","0.0002","0.0007","0.0143","0.0000","0.0135","11.7866","0.0002","1.6743","76.5000"
"77","0.0007","0.0052","0.0000","0.0002","0.0007","0.0148","0.0000","0.0137","11.1847","0.0002","1.6052","77.5000"
"78","0.0007","0.0052","0.0000","0.0002","0.0007","0.0153","0.0000","0.0139","10.5960","0.0002","1.5416","78.5000"
"79","0.0007","0.0052","0.0000","0.0002","0.0007","0.0158","0.0000","0.0142","10.0226","0.0002","1.4837","79.5000"
"80","0.0007","0.0042","0.0000","0.0003","0.0007","0.0163","0.0000","0.0145","9.4668","0.0002","1.4312","80.5000"
"81","0.0007","0.0042","0.0000","0.0003","0.0007","0.0168","0.0000","0.0148","8.9303","0.0002","1.3841","81.5000"
"82","0.0007","0.0042","0.0000","0.0003","0.0007","0.0173","0.0000","0.0151","8.4146","0.0003","1.3426","82.5000"
"83","0.0007","0.0042","0.0000","0.0003","0.0008","0.0178","0.0000","0.0154","7.9207","0.0003","1.3061","83.5000"
"84","0.0007","0.0042","0.0000","0.0003","0.0008","0.0182","0.0000","0.0157","7.4501","0.0003","1.2733","84.5000"
"85","0.0008","0.0045","0.0000","0.0003","0.0008","0.0187","0.0000","0.0159","7.0054","0.0003","1.2425","85.5000"
"86","0.0008","0.0045","0.0000","0.0003","0.0008","0.0192","0.0000","0.0161","6.5911","0.0003","1.2130","86.5000"
"87","0.0008","0.0045","0.0000","0.0003","0.0008","0.0197","0.0000","0.0162","6.2151","0.0003","1.1847","87.5000"
"88","0.0008","0.0045","0.0000","0.0003","0.0008","0.0202","0.0000","0.0163","5.8887","0.0003","1.1582","88.5000"
"89","0.0008","0.0045","0.0000","0.0003","0.0009","0.0207","0.0000","0.0164","5.6239","0.0003","1.1356","89.5000"
"90","0.0009","0.0038","0.0000","0.0004","0.0009","0.0212","0.0000","0.0163","5.4270","0.0003","1.1180","90.5000"
"91","0.0009","0.0038","0.0000","0.0004","0.0009","0.0218","0.0000","0.0163","5.2937","0.0004","1.1062","91.5000"
"92","0.0009","0.0038","0.0000","0.0004","0.0009","0.0223","0.0000","0.0162","5.2027","0.0004","1.1006","92.5000"
"93","0.0009","0.0038","0.0000","0.0004","0.0009","0.0229","0.0000","0.0162","5.1110","0.0004","1.1020","93.5000"
"94","0.0009","0.0038","0.0000","0.0004","0.0010","0.0234","0.0000","0.0162","4.9549","0.0004","1.1124","94.5000"
"95","0.0011","0.0008","0.0000","0.0004","0.0010","0.0240","0.0000","0.0162","4.8048","0.0004","1.0933","95.5000"
"96","0.0011","0.0008","0.0000","0.0004","0.0010","0.0246","0.0000","0.0162","4.7246","0.0004","1.0896","96.5000"
"97","0.0011","0.0008","0.0000","0.0004","0.0010","0.0252","0.0000","0.0162","4.6632","0.0004","1.0866","97.5000"
"98","0.0011","0.0008","0.0000","0.0004","0.0011","0.0258","0.0000","0.0163","4.6195","0.0004","1.0842","98.5000"
"99","0.0011","0.0008","0.0000","0.0004","0.0011","0.0264","0.0000","0.0163","4.5932","0.0004","1.0822","99.5000"
"100+","0.0011","0.0008","0.0000","0.0004","0.0011","0.0271","0.0000","0.0163","4.5841","0.0004","1.0805","104.4153"
"","","","","","","","","","","","",""
"All ages","NA","0.0022","NA","0.0001","0.0003","0.0039","0.0000","0.0126","18.6727","0.0000","2.2295","66.8320"
