"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Lung cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:01:14 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"37","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.1246","6.0571","0.0000","114.2890","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.1324","5.8265","0.0000","115.1608","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.1405","5.6130","0.0000","114.4852","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.1490","5.4178","0.0000","110.1776","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.1578","5.2420","0.0000","109.5052","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.1669","5.0876","0.0000","108.5629","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.1753","4.9537","0.0000","122.4889","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.1827","4.8380","0.0000","93.1352","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0001","0.0000","0.0001","0.0001","0.0003","0.0000","0.1890","4.7368","0.0001","90.9439","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0001","0.0000","0.0001","0.0001","0.0003","0.0000","0.1942","4.6449","0.0001","92.2469","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0001","0.0000","0.0001","0.0001","0.0004","0.0000","0.1983","4.5579","0.0001","80.2879","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0001","0.0000","0.0001","0.0001","0.0004","0.0000","0.2013","4.4702","0.0001","91.2118","48.5000","","","","","","","","","","","","","","","","","",""
"49","0.0001","0.0000","0.0001","0.0002","0.0005","0.0000","0.2040","4.3770","0.0001","80.2307","49.5000","","","","","","","","","","","","","","","","","",""
"50","0.0003","0.0000","0.0002","0.0002","0.0005","0.0000","0.2076","4.2787","0.0001","77.7539","50.5000","","","","","","","","","","","","","","","","","",""
"51","0.0003","0.0000","0.0002","0.0002","0.0006","0.0000","0.2119","4.1767","0.0001","73.0917","51.5000","","","","","","","","","","","","","","","","","",""
"52","0.0003","0.0000","0.0002","0.0003","0.0007","0.0000","0.2170","4.0729","0.0002","71.7100","52.5000","","","","","","","","","","","","","","","","","",""
"53","0.0003","0.0000","0.0002","0.0003","0.0008","0.0000","0.2229","3.9694","0.0002","67.5920","53.5000","","","","","","","","","","","","","","","","","",""
"54","0.0003","0.0000","0.0002","0.0004","0.0010","0.0000","0.2295","3.8688","0.0002","61.3992","54.5000","","","","","","","","","","","","","","","","","",""
"55","0.0007","0.0000","0.0004","0.0004","0.0011","0.0000","0.2371","3.7743","0.0003","59.5476","55.5000","","","","","","","","","","","","","","","","","",""
