"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Ischemic heart disease                (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:44:31 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0002","0.0013","0.0000","0.0000","0.0003","0.0014","0.0000","0.0268","28.5005","0.0000","28.7589","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0002","0.0013","0.0000","0.0000","0.0004","0.0017","0.0000","0.0273","28.2956","0.0000","28.1028","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0005","0.0033","0.0000","0.0001","0.0004","0.0020","0.0000","0.0277","28.0986","0.0001","27.1793","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0005","0.0033","0.0000","0.0001","0.0005","0.0024","0.0000","0.0278","27.9037","0.0001","26.0019","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0005","0.0033","0.0000","0.0001","0.0006","0.0028","0.0000","0.0276","27.7036","0.0001","24.4974","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0005","0.0033","0.0000","0.0001","0.0007","0.0034","0.0000","0.0273","27.4923","0.0001","22.8841","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0005","0.0033","0.0000","0.0001","0.0008","0.0040","0.0000","0.0269","27.2667","0.0001","21.2136","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0013","0.0076","0.0000","0.0002","0.0009","0.0048","0.0000","0.0264","27.0240","0.0001","19.5374","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0013","0.0076","0.0000","0.0002","0.0011","0.0056","0.0000","0.0257","26.7609","0.0001","17.8963","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0013","0.0076","0.0000","0.0002","0.0013","0.0066","0.0000","0.0250","26.4745","0.0002","16.3213","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0013","0.0076","0.0000","0.0002","0.0015","0.0078","0.0000","0.0242","26.1623","0.0002","14.8540","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0013","0.0076","0.0000","0.0002","0.0017","0.0092","0.0000","0.0235","25.8239","0.0002","13.5385","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0025","0.0162","0.0000","0.0003","0.0019","0.0107","0.0000","0.0228","25.4604","0.0002","12.3485","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0025","0.0162","0.0000","0.0003","0.0021","0.0125","0.0000","0.0221","25.0731","0.0003","11.2633","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0025","0.0162","0.0000","0.0003","0.0024","0.0144","0.0000","0.0215","24.6633","0.0003","10.2668","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0025","0.0162","0.0000","0.0003","0.0027","0.0166","0.0000","0.0209","24.2324","0.0003","9.3487","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.0025","0.0162","0.0000","0.0003","0.0030","0.0190","0.0000","0.0204","23.7820","0.0004","8.5168","49.5000","","","","","","","","","","","","","","","","","","","","","","",""
"50","0.0040","0.0305","0.0000","0.0006","0.0032","0.0216","0.0000","0.0199","23.3135","0.0004","7.7544","50.5000","","","","","","","","","","","","","","","","","","","","","","",""
"51","0.0040","0.0305","0.0000","0.0006","0.0035","0.0245","0.0000","0.0194","22.8279","0.0005","7.0619","51.5000","","","","","","","","","","","","","","","","","","","","","","",""
"52","0.0040","0.0305","0.0000","0.0006","0.0038","0.0276","0.0000","0.0190","22.3260","0.0005","6.4380","52.5000","","","","","","","","","","","","","","","","","","","","","","",""
"53","0.0040","0.0305","0.0000","0.0006","0.0041","0.0309","0.0000","0.0186","21.8086","0.0006","5.8794","53.5000","","","","","","","","","","","","","","","","","","","","","","",""
"54","0.0040","0.0305","0.0000","0.0006","0.0044","0.0345","0.0000","0.0181","21.2766","0.0006","5.3801","54.5000","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.0059","0.0504","0.0000","0.0008","0.0047","0.0382","0.0000","0.0178","20.7314","0.0007","4.9472","55.5000","","","","","","","","","","","","","","","","","","","","","","",""
"56","0.0059","0.0504","0.0000","0.0008","0.0051","0.0423","0.0000","0.0175","20.1748","0.0007","4.5680","56.5000","","","","","","","","","","","","","","","","","","","","","","",""
"57","0.0059","0.0504","0.0000","0.0008","0.0055","0.0466","0.0000","0.0173","19.6081","0.0008","4.2360","57.5000","","","","","","","","","","","","","","","","","","","","","","",""
"58","0.0059","0.0504","0.0000","0.0008","0.0059","0.0513","0.0000","0.0172","19.0329","0.0009","3.9452","58.5000","","","","","","","","","","","","","","","","","","","","","","",""
"59","0.0059","0.0504","0.0000","0.0008","0.0064","0.0562","0.0000","0.0171","18.4503","0.0010","3.6895","59.5000","","","","","","","","","","","","","","","","","","","","","","",""
"60","0.0079","0.0760","0.0000","0.0013","0.0069","0.0616","0.0000","0.0170","17.8616","0.0010","3.4639","60.5000","","","","","","","","","","","","","","","","","","","","","","",""
"61","0.0079","0.0760","0.0000","0.0013","0.0075","0.0673","0.0000","0.0170","17.2681","0.0011","3.2670","61.5000","","","","","","","","","","","","","","","","","","","","","","",""
"62","0.0079","0.0760","0.0000","0.0013","0.0080","0.0733","0.0000","0.0171","16.6709","0.0013","3.0873","62.5000","","","","","","","","","","","","","","","","","","","","","","",""
"63","0.0079","0.0760","0.0000","0.0013","0.0086","0.0798","0.0000","0.0172","16.0705","0.0014","2.9227","63.5000","","","","","","","","","","","","","","","","","","","","","","",""
"64","0.0079","0.0760","0.0000","0.0013","0.0092","0.0866","0.0000","0.0173","15.4674","0.0015","2.7713","64.5000","","","","","","","","","","","","","","","","","","","","","","",""
"65","0.0102","0.1154","0.0000","0.0020","0.0097","0.0938","0.0000","0.0174","14.8622","0.0016","2.6316","65.5000","","","","","","","","","","","","","","","","","","","","","","",""
"66","0.0102","0.1154","0.0000","0.0020","0.0104","0.1013","0.0000","0.0176","14.2553","0.0018","2.5024","66.5000","","","","","","","","","","","","","","","","","","","","","","",""
"67","0.0102","0.1154","0.0000","0.0020","0.0109","0.1091","0.0000","0.0179","13.6479","0.0019","2.3889","67.5000","","","","","","","","","","","","","","","","","","","","","","",""
"68","0.0102","0.1154","0.0000","0.0020","0.0115","0.1173","0.0000","0.0182","13.0414","0.0021","2.2869","68.5000","","","","","","","","","","","","","","","","","","","","","","",""
"69","0.0102","0.1154","0.0000","0.0020","0.0121","0.1257","0.0000","0.0186","12.4370","0.0023","2.1950","69.5000","","","","","","","","","","","","","","","","","","","","","","",""
"70","0.0126","0.1512","0.0000","0.0032","0.0126","0.1342","0.0000","0.0192","11.8356","0.0026","2.1121","70.5000","","","","","","","","","","","","","","","","","","","","","","",""
"71","0.0126","0.1512","0.0000","0.0032","0.0131","0.1430","0.0000","0.0198","11.2380","0.0028","2.0370","71.5000","","","","","","","","","","","","","","","","","","","","","","",""
"72","0.0126","0.1512","0.0000","0.0032","0.0135","0.1518","0.0000","0.0204","10.6450","0.0031","1.9689","72.5000","","","","","","","","","","","","","","","","","","","","","","",""
"73","0.0126","0.1512","0.0000","0.0032","0.0140","0.1606","0.0000","0.0215","10.0581","0.0034","1.9177","73.5000","","","","","","","","","","","","","","","","","","","","","","",""
"74","0.0126","0.1512","0.0000","0.0032","0.0144","0.1694","0.0000","0.0227","9.4792","0.0039","1.8757","74.5000","","","","","","","","","","","","","","","","","","","","","","",""
"75","0.0153","0.1860","0.0000","0.0056","0.0148","0.1781","0.0000","0.0243","8.9096","0.0043","1.8401","75.5000","","","","","","","","","","","","","","","","","","","","","","",""
"76","0.0153","0.1860","0.0000","0.0056","0.0152","0.1866","0.0000","0.0261","8.3506","0.0049","1.8086","76.5000","","","","","","","","","","","","","","","","","","","","","","",""
"77","0.0153","0.1860","0.0000","0.0056","0.0156","0.1949","0.0000","0.0281","7.8029","0.0055","1.7794","77.5000","","","","","","","","","","","","","","","","","","","","","","",""
"78","0.0153","0.1860","0.0000","0.0056","0.0160","0.2029","0.0000","0.0304","7.2673","0.0062","1.7511","78.5000","","","","","","","","","","","","","","","","","","","","","","",""
"79","0.0153","0.1860","0.0000","0.0056","0.0164","0.2105","0.0000","0.0339","6.7466","0.0071","1.7432","79.5000","","","","","","","","","","","","","","","","","","","","","","",""
"80","0.0202","0.2081","0.0000","0.0114","0.0169","0.2175","0.0000","0.0382","6.2441","0.0083","1.7444","80.5000","","","","","","","","","","","","","","","","","","","","","","",""
"81","0.0202","0.2081","0.0000","0.0114","0.0173","0.2238","0.0000","0.0434","5.7614","0.0097","1.7515","81.5000","","","","","","","","","","","","","","","","","","","","","","",""
"82","0.0202","0.2081","0.0000","0.0114","0.0178","0.2292","0.0000","0.0496","5.2986","0.0114","1.7623","82.5000","","","","","","","","","","","","","","","","","","","","","","",""
"83","0.0202","0.2081","0.0000","0.0114","0.0183","0.2336","0.0000","0.0566","4.8546","0.0132","1.7753","83.5000","","","","","","","","","","","","","","","","","","","","","","",""
"84","0.0202","0.2081","0.0000","0.0114","0.0189","0.2370","0.0000","0.0645","4.4274","0.0153","1.7879","84.5000","","","","","","","","","","","","","","","","","","","","","","",""
