"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Ischemic heart disease                (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:45:24 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0000","0.0010","0.0000","0.0000","0.0001","0.0006","0.0000","0.0141","34.4042","0.0000","33.3472","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0000","0.0010","0.0000","0.0000","0.0001","0.0007","0.0000","0.0149","33.9151","0.0000","32.2725","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0001","0.0020","0.0000","0.0000","0.0001","0.0008","0.0000","0.0155","33.4437","0.0000","30.8886","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0001","0.0020","0.0000","0.0000","0.0001","0.0009","0.0000","0.0161","32.9862","0.0000","29.3587","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0001","0.0020","0.0000","0.0000","0.0001","0.0010","0.0000","0.0164","32.5374","0.0000","27.6677","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0001","0.0020","0.0000","0.0000","0.0002","0.0011","0.0000","0.0167","32.0924","0.0000","26.0833","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0001","0.0020","0.0000","0.0000","0.0002","0.0013","0.0000","0.0168","31.6478","0.0000","24.5604","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0002","0.0040","0.0000","0.0000","0.0002","0.0015","0.0000","0.0169","31.2008","0.0000","23.0391","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0002","0.0040","0.0000","0.0000","0.0003","0.0017","0.0000","0.0169","30.7482","0.0000","21.4736","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0002","0.0040","0.0000","0.0000","0.0003","0.0019","0.0000","0.0168","30.2872","0.0000","19.8329","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0002","0.0040","0.0000","0.0000","0.0004","0.0022","0.0000","0.0165","29.8147","0.0000","18.0796","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0002","0.0040","0.0000","0.0000","0.0004","0.0026","0.0000","0.0163","29.3285","0.0000","16.3732","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0005","0.0072","0.0000","0.0001","0.0005","0.0030","0.0000","0.0159","28.8277","0.0000","14.7613","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0005","0.0072","0.0000","0.0001","0.0006","0.0035","0.0000","0.0156","28.3117","0.0001","13.2754","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0005","0.0072","0.0000","0.0001","0.0006","0.0040","0.0000","0.0152","27.7795","0.0001","11.9334","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0005","0.0072","0.0000","0.0001","0.0007","0.0046","0.0000","0.0148","27.2304","0.0001","10.7379","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.0005","0.0072","0.0000","0.0001","0.0008","0.0053","0.0000","0.0144","26.6640","0.0001","9.6867","49.5000","","","","","","","","","","","","","","","","","","","","","","",""
"50","0.0008","0.0120","0.0000","0.0001","0.0009","0.0060","0.0000","0.0140","26.0808","0.0001","8.7762","50.5000","","","","","","","","","","","","","","","","","","","","","","",""
"51","0.0008","0.0120","0.0000","0.0001","0.0010","0.0069","0.0000","0.0136","25.4819","0.0001","7.9823","51.5000","","","","","","","","","","","","","","","","","","","","","","",""
"52","0.0008","0.0120","0.0000","0.0001","0.0011","0.0078","0.0000","0.0132","24.8681","0.0001","7.2858","52.5000","","","","","","","","","","","","","","","","","","","","","","",""
"53","0.0008","0.0120","0.0000","0.0001","0.0012","0.0088","0.0000","0.0129","24.2406","0.0001","6.6712","53.5000","","","","","","","","","","","","","","","","","","","","","","",""
"54","0.0008","0.0120","0.0000","0.0001","0.0013","0.0098","0.0000","0.0126","23.6002","0.0001","6.1265","54.5000","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.0013","0.0191","0.0000","0.0002","0.0014","0.0110","0.0000","0.0124","22.9486","0.0001","5.6683","55.5000","","","","","","","","","","","","","","","","","","","","","","",""
"56","0.0013","0.0191","0.0000","0.0002","0.0015","0.0123","0.0000","0.0123","22.2882","0.0002","5.2726","56.5000","","","","","","","","","","","","","","","","","","","","","","",""
"57","0.0013","0.0191","0.0000","0.0002","0.0017","0.0137","0.0000","0.0123","21.6206","0.0002","4.9294","57.5000","","","","","","","","","","","","","","","","","","","","","","",""
