"DisMod II input and output, database Australia",,,,,,,,,,,,
"Females, Disease: diabetes mellitus type 2              (Rates * ), sex: Females",,,,,,,,,,,,
"Written 27/07/2020, 4:42:23 PM",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
62,0.0058,0.1046,0,0.0001,0.0065,0.1069,0,0.0004,24.7161,0,1.0947,62.5
63,0.0058,0.1046,0,0.0001,0.0067,0.1127,0,0.0005,23.8454,0.0001,1.0893,63.5
64,0.0058,0.1046,0,0.0001,0.0069,0.1187,0,0.0005,22.9806,0.0001,1.0836,64.5
65,0.0065,0.1326,0,0.0001,0.0071,0.1247,0,0.0005,22.1221,0.0001,1.0777,65.5
66,0.0065,0.1326,0,0.0001,0.0072,0.1309,0,0.0005,21.2703,0.0001,1.0716,66.5
67,0.0065,0.1326,0,0.0001,0.0073,0.1372,0,0.0005,20.4258,0.0001,1.0651,67.5
68,0.0065,0.1326,0,0.0001,0.0074,0.1434,0,0.0005,19.5895,0.0001,1.0588,68.5
69,0.0065,0.1326,0,0.0001,0.0074,0.1497,0,0.0005,18.7624,0.0001,1.0526,69.5
70,0.0062,0.161,0,0.0002,0.0074,0.1559,0,0.0005,17.9453,0.0001,1.0468,70.5
71,0.0062,0.161,0,0.0002,0.0073,0.162,0,0.0005,17.1391,0.0001,1.0413,71.5
72,0.0062,0.161,0,0.0002,0.0072,0.168,0,0.0005,16.3448,0.0001,1.0363,72.5
73,0.0062,0.161,0,0.0002,0.007,0.1738,0,0.0004,15.5631,0.0001,1.0315,73.5
74,0.0062,0.161,0,0.0002,0.0068,0.1795,0,0.0004,14.7947,0.0001,1.0272,74.5
75,0.005,0.1828,0,0.0005,0.0066,0.1849,0,0.0004,14.0408,0.0001,1.0232,75.5
76,0.005,0.1828,0,0.0005,0.0063,0.1901,0,0.0004,13.3027,0.0001,1.0196,76.5
77,0.005,0.1828,0,0.0005,0.0061,0.1951,0,0.0004,12.582,0.0001,1.0163,77.5
78,0.005,0.1828,0,0.0005,0.0057,0.1998,0,0.0003,11.8809,0.0001,1.0134,78.5
79,0.005,0.1828,0,0.0005,0.0054,0.2041,0,0.0003,11.2016,0.0001,1.0108,79.5
80,0.0034,0.1957,0,0.001,0.005,0.2082,0,0.0003,10.5463,0.0001,1.0087,80.5
81,0.0034,0.1957,0,0.001,0.0046,0.212,0,0.0003,9.9168,0.0001,1.007,81.5
82,0.0034,0.1957,0,0.001,0.0042,0.2154,0,0.0002,9.3146,0.0001,1.0056,82.5
83,0.0034,0.1957,0,0.001,0.0037,0.2184,0,0.0002,8.7406,0,1.0045,83.5
84,0.0034,0.1957,0,0.001,0.0033,0.2211,0,0.0002,8.1964,0,1.0035,84.5
85,0.0014,0.1958,0,0.0018,0.0029,0.2235,0,0.0002,7.6846,0,1.0028,85.5
86,0.0014,0.1958,0,0.0018,0.0024,0.2255,0,0.0002,7.2103,0,1.0022,86.5
87,0.0014,0.1958,0,0.0018,0.0021,0.2272,0,0.0001,6.782,0,1.0017,87.5
88,0.0014,0.1958,0,0.0018,0.0017,0.2287,0,0.0001,6.4117,0,1.0013,88.5
89,0.0014,0.1958,0,0.0018,0.0014,0.2298,0,0.0001,6.1118,0,1.001,89.5
90,0.0003,0.1835,0,0.0028,0.0011,0.2308,0,0.0001,5.8884,0,1.0008,90.5
91,0.0003,0.1835,0,0.0028,0.0009,0.2315,0,0.0001,5.7359,0,1.0006,91.5
92,0.0003,0.1835,0,0.0028,0.0007,0.2321,0,0.0001,5.6303,0,1.0006,92.5
93,0.0003,0.1835,0,0.0028,0.0006,0.2326,0,0.0001,5.5245,0,1.0005,93.5
94,0.0003,0.1835,0,0.0028,0.0004,0.233,0,0.0001,5.3503,0,1.0005,94.5
95,0.0002,0.1629,0,0.0047,0.0004,0.2333,0,0.0001,5.1849,0,1.0004,95.5
96,0.0002,0.1629,0,0.0047,0.0003,0.2335,0,0.0001,5.0963,0,1.0004,96.5
97,0.0002,0.1629,0,0.0047,0.0003,0.2338,0,0.0001,5.0287,0,1.0003,97.5
98,0.0002,0.1629,0,0.0047,0.0003,0.234,0,0.0001,4.9809,0,1.0003,98.5
99,0.0002,0.1629,0,0.0047,0.0003,0.2342,0,0.0001,4.9523,0,1.0003,99.5
100+,0.0002,0.1629,0,0.0047,0.0003,0.2344,0,0.0001,4.9425,0,1.0002,104.4153
,,,,,,,,,,,,
All ages,NA,0.0613,NA,0.0001,0.0032,0.0639,0,0.0003,29.5483,0,1.0703,56.7268
