"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: tracheal, bronchus, and lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:52:12 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"33","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0716","9.2106","0.0000","164.9274","33.5000","","","","","","","","","","","","","","","","","","","","","","",""
"34","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0758","8.8812","0.0000","160.1878","34.5000","","","","","","","","","","","","","","","","","","","","","","",""
"35","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0798","8.5638","0.0000","154.6296","35.5000","","","","","","","","","","","","","","","","","","","","","","",""
"36","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0838","8.2563","0.0000","148.8803","36.5000","","","","","","","","","","","","","","","","","","","","","","",""
"37","0.0000","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0882","7.9579","0.0000","144.1542","37.5000","","","","","","","","","","","","","","","","","","","","","","",""
"38","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0929","7.6699","0.0000","140.7276","38.5000","","","","","","","","","","","","","","","","","","","","","","",""
"39","0.0000","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0981","7.3939","0.0000","138.1952","39.5000","","","","","","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.1037","7.1312","0.0000","136.0668","40.5000","","","","","","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0002","0.0000","0.0000","0.0001","0.0002","0.0000","0.1096","6.8836","0.0000","133.8940","41.5000","","","","","","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.1161","6.6526","0.0000","131.2631","42.5000","","","","","","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.1228","6.4398","0.0000","127.8114","43.5000","","","","","","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0002","0.0000","0.0000","0.0001","0.0003","0.0000","0.1294","6.2454","0.0000","123.3632","44.5000","","","","","","","","","","","","","","","","","","","","","","",""
"45","0.0002","0.0005","0.0000","0.0001","0.0001","0.0004","0.0000","0.1360","6.0686","0.0001","118.3317","45.5000","","","","","","","","","","","","","","","","","","","","","","",""
"46","0.0002","0.0005","0.0000","0.0001","0.0001","0.0004","0.0000","0.1424","5.9088","0.0001","113.0826","46.5000","","","","","","","","","","","","","","","","","","","","","","",""
"47","0.0002","0.0005","0.0000","0.0001","0.0001","0.0005","0.0000","0.1488","5.7657","0.0001","107.9263","47.5000","","","","","","","","","","","","","","","","","","","","","","",""
"48","0.0002","0.0005","0.0000","0.0001","0.0002","0.0006","0.0000","0.1550","5.6394","0.0001","103.0711","48.5000","","","","","","","","","","","","","","","","","","","","","","",""
"49","0.0002","0.0005","0.0000","0.0001","0.0002","0.0006","0.0000","0.1607","5.5289","0.0001","98.1986","49.5000","","","","","","","","","","","","","","","","","","","","","","",""
"50","0.0003","0.0010","0.0000","0.0002","0.0002","0.0007","0.0000","0.1658","5.4323","0.0001","93.3795","50.5000","","","","","","","","","","","","","","","","","","","","","","",""
"51","0.0003","0.0010","0.0000","0.0002","0.0002","0.0008","0.0000","0.1705","5.3478","0.0001","88.6107","51.5000","","","","","","","","","","","","","","","","","","","","","","",""
"52","0.0003","0.0010","0.0000","0.0002","0.0003","0.0009","0.0000","0.1746","5.2738","0.0002","83.8866","52.5000","","","","","","","","","","","","","","","","","","","","","","",""
"53","0.0003","0.0010","0.0000","0.0002","0.0003","0.0010","0.0000","0.1782","5.2088","0.0002","79.2039","53.5000","","","","","","","","","","","","","","","","","","","","","","",""
"54","0.0003","0.0010","0.0000","0.0002","0.0003","0.0012","0.0000","0.1813","5.1510","0.0002","74.5709","54.5000","","","","","","","","","","","","","","","","","","","","","","",""
"55","0.0006","0.0016","0.0000","0.0003","0.0004","0.0013","0.0000","0.1840","5.0989","0.0002","70.0232","55.5000","","","","","","","","","","","","","","","","","","","","","","",""
"56","0.0006","0.0016","0.0000","0.0003","0.0004","0.0015","0.0000","0.1867","5.0522","0.0003","65.7409","56.5000","","","","","","","","","","","","","","","","","","","","","","",""
"57","0.0006","0.0016","0.0000","0.0003","0.0005","0.0016","0.0000","0.1895","5.0122","0.0003","61.6875","57.5000","","","","","","","","","","","","","","","","","","","","","","",""
"58","0.0006","0.0016","0.0000","0.0003","0.0005","0.0018","0.0000","0.1924","4.9807","0.0004","57.8370","58.5000","","","","","","","","","","","","","","","","","","","","","","",""
"59","0.0006","0.0016","0.0000","0.0003","0.0006","0.0020","0.0000","0.1953","4.9595","0.0004","54.1828","59.5000","","","","","","","","","","","","","","","","","","","","","","",""
