"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Colon cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:59:49 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"37","0.0001","0.0000","0.0000","0.0001","0.0006","0.0000","0.0089","39.4574","0.0000","18.6252","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0001","0.0000","0.0000","0.0001","0.0006","0.0000","0.0080","38.8114","0.0000","14.3369","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0001","0.0000","0.0000","0.0001","0.0007","0.0000","0.0073","38.1317","0.0000","11.3133","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0000","0.0000","0.0001","0.0008","0.0000","0.0068","37.4258","0.0000","9.4133","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0000","0.0000","0.0001","0.0009","0.0000","0.0064","36.6973","0.0000","9.6982","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0000","0.0000","0.0001","0.0010","0.0000","0.0062","35.9549","0.0000","7.7209","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0000","0.0000","0.0001","0.0011","0.0000","0.0062","35.2066","0.0000","8.2228","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0000","0.0000","0.0001","0.0013","0.0000","0.0063","34.4589","0.0000","6.8169","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0002","0.0000","0.0000","0.0001","0.0014","0.0000","0.0065","33.7157","0.0000","6.7851","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0002","0.0000","0.0000","0.0002","0.0015","0.0000","0.0068","32.9780","0.0000","6.2776","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0002","0.0000","0.0000","0.0002","0.0017","0.0000","0.0072","32.2458","0.0000","6.9093","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0002","0.0000","0.0000","0.0002","0.0019","0.0000","0.0076","31.5241","0.0000","5.8772","48.5000","","","","","","","","","","","","","","","","","",""
"49","0.0002","0.0000","0.0000","0.0002","0.0020","0.0000","0.0080","30.8136","0.0000","6.2165","49.5000","","","","","","","","","","","","","","","","","",""
"50","0.0003","0.0000","0.0000","0.0002","0.0022","0.0000","0.0082","30.1103","0.0000","5.5649","50.5000","","","","","","","","","","","","","","","","","",""
"51","0.0003","0.0000","0.0000","0.0002","0.0024","0.0000","0.0084","29.4133","0.0000","5.2527","51.5000","","","","","","","","","","","","","","","","","",""
"52","0.0003","0.0000","0.0000","0.0003","0.0027","0.0000","0.0084","28.7169","0.0000","4.9676","52.5000","","","","","","","","","","","","","","","","","",""
"53","0.0003","0.0000","0.0000","0.0003","0.0029","0.0000","0.0084","28.0157","0.0000","4.8795","53.5000","","","","","","","","","","","","","","","","","",""
"54","0.0003","0.0000","0.0000","0.0003","0.0032","0.0000","0.0082","27.3052","0.0000","4.6841","54.5000","","","","","","","","","","","","","","","","","",""
"55","0.0004","0.0000","0.0000","0.0003","0.0034","0.0000","0.0080","26.5886","0.0000","4.0898","55.5000","","","","","","","","","","","","","","","","","",""
"56","0.0004","0.0000","0.0000","0.0003","0.0037","0.0000","0.0080","25.8670","0.0000","4.0587","56.5000","","","","","","","","","","","","","","","","","",""
"57","0.0004","0.0000","0.0000","0.0004","0.0041","0.0000","0.0081","25.1407","0.0000","3.9082","57.5000","","","","","","","","","","","","","","","","","",""
"58","0.0004","0.0000","0.0000","0.0004","0.0044","0.0000","0.0083","24.4196","0.0000","3.4606","58.5000","","","","","","","","","","","","","","","","","",""
"59","0.0004","0.0000","0.0000","0.0004","0.0048","0.0000","0.0087","23.7045","0.0000","3.5534","59.5000","","","","","","","","","","","","","","","","","",""
"60","0.0006","0.0000","0.0001","0.0005","0.0052","0.0000","0.0091","22.9961","0.0000","3.3461","60.5000","","","","","","","","","","","","","","","","","",""
"61","0.0006","0.0000","0.0001","0.0005","0.0057","0.0000","0.0096","22.2933","0.0001","3.5704","61.5000","","","","","","","","","","","","","","","","","",""
"62","0.0006","0.0000","0.0001","0.0006","0.0061","0.0000","0.0099","21.5979","0.0001","3.1407","62.5000","","","","","","","","","","","","","","","","","",""
"63","0.0006","0.0000","0.0001","0.0006","0.0067","0.0000","0.0101","20.9059","0.0001","3.2867","63.5000","","","","","","","","","","","","","","","","","",""
"64","0.0006","0.0000","0.0001","0.0007","0.0073","0.0000","0.0102","20.2117","0.0001","2.9774","64.5000","","","","","","","","","","","","","","","","","",""
"65","0.0008","0.0000","0.0001","0.0007","0.0079","0.0000","0.0101","19.5213","0.0001","2.7318","65.5000","","","","","","","","","","","","","","","","","",""
"66","0.0008","0.0000","0.0001","0.0008","0.0086","0.0000","0.0099","18.8256","0.0001","2.6586","66.5000","","","","","","","","","","","","","","","","","",""
"67","0.0008","0.0000","0.0001","0.0008","0.0093","0.0000","0.0097","18.1250","0.0001","2.3790","67.5000","","","","","","","","","","","","","","","","","",""
"68","0.0008","0.0000","0.0001","0.0009","0.0101","0.0000","0.0094","17.4257","0.0001","2.1899","68.5000","","","","","","","","","","","","","","","","","",""
"69","0.0008","0.0000","0.0001","0.0010","0.0109","0.0000","0.0093","16.7222","0.0001","2.1126","69.5000","","","","","","","","","","","","","","","","","",""
"70","0.0016","0.0000","0.0001","0.0011","0.0119","0.0000","0.0091","16.0169","0.0001","1.9552","70.5000","","","","","","","","","","","","","","","","","",""
