"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:02:16 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"37","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0811","9.2723","0.0000","160.8671","37.5000","","","","","","","","","","","","","","","","","",""
"38","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0835","9.0305","0.0000","139.5486","38.5000","","","","","","","","","","","","","","","","","",""
"39","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0858","8.7905","0.0000","122.0793","39.5000","","","","","","","","","","","","","","","","","",""
"40","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0880","8.5503","0.0000","110.6375","40.5000","","","","","","","","","","","","","","","","","",""
"41","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0901","8.3074","0.0000","123.9930","41.5000","","","","","","","","","","","","","","","","","",""
"42","0.0001","0.0000","0.0000","0.0001","0.0002","0.0000","0.0922","8.0597","0.0000","101.3960","42.5000","","","","","","","","","","","","","","","","","",""
"43","0.0001","0.0000","0.0000","0.0001","0.0003","0.0000","0.0951","7.8092","0.0000","111.4776","43.5000","","","","","","","","","","","","","","","","","",""
"44","0.0001","0.0000","0.0000","0.0001","0.0003","0.0000","0.0989","7.5617","0.0000","91.8327","44.5000","","","","","","","","","","","","","","","","","",""
"45","0.0001","0.0000","0.0001","0.0001","0.0004","0.0000","0.1038","7.3238","0.0000","92.9139","45.5000","","","","","","","","","","","","","","","","","",""
"46","0.0001","0.0000","0.0001","0.0001","0.0004","0.0000","0.1096","7.1013","0.0000","86.0140","46.5000","","","","","","","","","","","","","","","","","",""
"47","0.0001","0.0000","0.0001","0.0001","0.0005","0.0000","0.1164","6.9002","0.0001","97.1801","47.5000","","","","","","","","","","","","","","","","","",""
"48","0.0001","0.0000","0.0001","0.0001","0.0005","0.0000","0.1241","6.7281","0.0001","80.9498","48.5000","","","","","","","","","","","","","","","","","",""
"49","0.0001","0.0000","0.0001","0.0002","0.0006","0.0000","0.1320","6.5900","0.0001","87.4993","49.5000","","","","","","","","","","","","","","","","","",""
"50","0.0003","0.0000","0.0002","0.0002","0.0007","0.0000","0.1389","6.4852","0.0001","78.0181","50.5000","","","","","","","","","","","","","","","","","",""
"51","0.0003","0.0000","0.0002","0.0002","0.0008","0.0000","0.1449","6.4113","0.0001","74.4220","51.5000","","","","","","","","","","","","","","","","","",""
"52","0.0003","0.0000","0.0002","0.0002","0.0009","0.0000","0.1500","6.3654","0.0001","71.5050","52.5000","","","","","","","","","","","","","","","","","",""
"53","0.0003","0.0000","0.0002","0.0003","0.0010","0.0000","0.1543","6.3448","0.0002","72.4077","53.5000","","","","","","","","","","","","","","","","","",""
"54","0.0003","0.0000","0.0002","0.0003","0.0012","0.0000","0.1576","6.3470","0.0002","71.7423","54.5000","","","","","","","","","","","","","","","","","",""
"55","0.0006","0.0000","0.0003","0.0004","0.0013","0.0000","0.1594","6.3686","0.0002","62.1913","55.5000","","","","","","","","","","","","","","","","","",""
"56","0.0006","0.0000","0.0003","0.0004","0.0015","0.0000","0.1605","6.4051","0.0002","62.2585","56.5000","","","","","","","","","","","","","","","","","",""
"57","0.0006","0.0000","0.0003","0.0005","0.0017","0.0000","0.1609","6.4540","0.0003","58.7475","57.5000","","","","","","","","","","","","","","","","","",""
"58","0.0006","0.0000","0.0003","0.0006","0.0020","0.0000","0.1607","6.5147","0.0003","48.5219","58.5000","","","","","","","","","","","","","","","","","",""
"59","0.0006","0.0000","0.0003","0.0006","0.0022","0.0000","0.1598","6.5842","0.0004","48.1040","59.5000","","","","","","","","","","","","","","","","","",""
"60","0.0009","0.0000","0.0005","0.0007","0.0025","0.0000","0.1583","6.6588","0.0004","41.6626","60.5000","","","","","","","","","","","","","","","","","",""
"61","0.0009","0.0000","0.0005","0.0008","0.0029","0.0000","0.1559","6.7333","0.0004","42.7618","61.5000","","","","","","","","","","","","","","","","","",""
