"DisMod II input and output, database Australia",,,,,,,,,,,,,,,
"Females, Disease: breast cancer (Rates * ), sex: Females",,,,,,,,,,,,,,,
"Written 27/07/2020, 4:57:06 PM",,,,,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years),,Incidence AIHW,Prevalence AIHW
54,0.0022,0.0202,0,0.0003,0.0022,0.023,0,0.0153,25.7985,0.0004,7.2223,54.5,,0.0027,0.0276
55,0.0024,0.0236,0,0.0004,0.0023,0.0249,0,0.015,25.2413,0.0004,6.6121,55.5,,0.0027,0.0299
56,0.0024,0.0236,0,0.0004,0.0024,0.0268,0,0.0146,24.67,0.0004,6.0652,56.5,,0.0028,0.0323
57,0.0024,0.0236,0,0.0004,0.0025,0.0288,0,0.0143,24.0855,0.0004,5.5735,57.5,,0.0029,0.0347
58,0.0024,0.0236,0,0.0004,0.0025,0.0308,0,0.014,23.4891,0.0004,5.1305,58.5,,0.003,0.0372
59,0.0024,0.0236,0,0.0004,0.0026,0.0329,0,0.0137,22.8816,0.0005,4.7317,59.5,,0.0031,0.0398
60,0.0028,0.0285,0,0.0005,0.0027,0.035,0,0.0135,22.2642,0.0005,4.3731,60.5,,0.0033,0.0425
61,0.0028,0.0285,0,0.0005,0.0028,0.0372,0,0.0132,21.6381,0.0005,4.0559,61.5,,0.0034,0.0454
62,0.0028,0.0285,0,0.0005,0.0029,0.0395,0,0.0131,21.0044,0.0005,3.7701,62.5,,0.0036,0.0483
63,0.0028,0.0285,0,0.0005,0.003,0.0418,0,0.0129,20.3639,0.0005,3.5126,63.5,,0.0037,0.0514
64,0.0028,0.0285,0,0.0005,0.0031,0.0442,0,0.0128,19.7176,0.0006,3.279,64.5,,0.0039,0.0545
65,0.0033,0.033,0,0.0007,0.0032,0.0466,0,0.0126,19.0665,0.0006,3.0657,65.5,,0.004,0.0578
66,0.0033,0.033,0,0.0007,0.0032,0.0491,0,0.0125,18.4114,0.0006,2.8697,66.5,,0.0041,0.0611
67,0.0033,0.033,0,0.0007,0.0033,0.0516,0,0.0125,17.7538,0.0006,2.6901,67.5,,0.0042,0.0646
68,0.0033,0.033,0,0.0007,0.0034,0.0541,0,0.0124,17.0948,0.0007,2.5225,68.5,,0.0043,0.068
69,0.0033,0.033,0,0.0007,0.0034,0.0567,0,0.0124,16.4356,0.0007,2.3674,69.5,,0.0044,0.0716
70,0.0033,0.0334,0,0.0008,0.0035,0.0593,0,0.0124,15.7774,0.0007,2.2254,70.5,,0.0045,0.0751
71,0.0033,0.0334,0,0.0008,0.0035,0.0619,0,0.0123,15.1213,0.0008,2.0964,71.5,,0.0045,0.0787
72,0.0033,0.0334,0,0.0008,0.0036,0.0645,0,0.0123,14.4683,0.0008,1.9803,72.5,,0.0045,0.0822
73,0.0033,0.0334,0,0.0008,0.0036,0.067,0,0.0124,13.8197,0.0008,1.8791,73.5,,0.0045,0.0857
74,0.0033,0.0334,0,0.0008,0.0036,0.0696,0,0.0124,13.1769,0.0009,1.7894,74.5,,0.0045,0.0892
75,0.0034,0.0338,0,0.001,0.0036,0.0721,0,0.0126,12.5415,0.0009,1.7092,75.5,,0.0045,0.0925
76,0.0034,0.0338,0,0.001,0.0036,0.0745,0,0.0127,11.9151,0.0009,1.637,76.5,,0.0044,0.0958
77,0.0034,0.0338,0,0.001,0.0036,0.077,0,0.0129,11.2996,0.001,1.5713,77.5,,0.0044,0.099
78,0.0034,0.0338,0,0.001,0.0036,0.0793,0,0.0132,10.6975,0.001,1.5114,78.5,,0.0043,0.1021
79,0.0034,0.0338,0,0.001,0.0036,0.0816,0,0.0135,10.1113,0.0011,1.4584,79.5,,0.0042,0.1051
80,0.0031,0.0291,0,0.0014,0.0036,0.0839,0,0.0138,9.5435,0.0012,1.4109,80.5,,0.0042,0.1079
81,0.0031,0.0291,0,0.0014,0.0036,0.0861,0,0.0142,8.9959,0.0012,1.3687,81.5,,0.0041,0.1107
82,0.0031,0.0291,0,0.0014,0.0037,0.0883,0,0.0146,8.4701,0.0013,1.3317,82.5,,0.0041,0.1133
83,0.0031,0.0291,0,0.0014,0.0038,0.0905,0,0.015,7.9673,0.0014,1.2994,83.5,,0.004,0.1158
84,0.0031,0.0291,0,0.0014,0.0039,0.0927,0,0.0155,7.489,0.0014,1.2705,84.5,,0.004,0.1182
85,0.004,0.0323,0,0.0018,0.004,0.0949,0,0.0159,7.0379,0.0015,1.2427,85.5,,0.0039,0.1205
86,0.004,0.0323,0,0.0018,0.0041,0.0972,0,0.0163,6.6183,0.0016,1.2153,86.5,,0.0039,0.1227
87,0.004,0.0323,0,0.0018,0.0042,0.0994,0,0.0166,6.238,0.0016,1.1884,87.5,,0.0038,0.1248
88,0.004,0.0323,0,0.0018,0.0043,0.1018,0,0.0168,5.908,0.0017,1.1625,88.5,,0.0037,0.1267
89,0.004,0.0323,0,0.0018,0.0045,0.1042,0,0.0169,5.6402,0.0018,1.1402,89.5,,0.0037,0.1284
90,0.0042,0.0299,0,0.0019,0.0046,0.1066,0,0.017,5.4409,0.0018,1.1227,90.5,,0.0036,0.1299
91,0.0042,0.0299,0,0.0019,0.0047,0.1091,0,0.017,5.3053,0.0019,1.111,91.5,,0.0035,0.1313
92,0.0042,0.0299,0,0.0019,0.0049,0.1117,0,0.0171,5.2123,0.0019,1.1058,92.5,,0.0034,0.1324
93,0.0042,0.0299,0,0.0019,0.005,0.1144,0,0.0172,5.1186,0.002,1.108,93.5,,0.0034,0.1334
94,0.0042,0.0299,0,0.0019,0.0052,0.1171,0,0.0173,4.9607,0.002,1.12,94.5,,0.0033,0.1344
95,0.0054,0.0202,0,0.0024,0.0054,0.1199,0,0.0174,4.809,0.0021,1.1005,95.5,,0.0033,0.1352
96,0.0054,0.0202,0,0.0024,0.0056,0.1229,0,0.0176,4.7275,0.0022,1.0974,96.5,,0.0033,0.136
97,0.0054,0.0202,0,0.0024,0.0057,0.1259,0,0.0178,4.6651,0.0022,1.095,97.5,,0.0033,0.1367
98,0.0054,0.0202,0,0.0024,0.0059,0.129,0,0.018,4.6208,0.0023,1.0933,98.5,,0.0033,0.1375
99,0.0054,0.0202,0,0.0024,0.0061,0.1322,0,0.0182,4.5943,0.0024,1.0919,99.5,,0.0033,0.1383
100+,0.0054,0.0202,0,0.0024,0.0062,0.1354,0,0.0183,4.5852,0.0025,1.0904,104.4153,,0.0033,0.139
,,,,,,,,,,,,,,,
All ages,NA,0.0148,NA,0.0003,0.0016,0.0229,0,0.0143,19.9753,0.0003,4.9044,63.2895,,,
