"","Year","Female_COPD_F","Male_COPD_F","ERP_rateFem_F","ERP_rateMale_F","ERP"
"1",2005,16.0670329670331,31.0879120879121,3241.82017718685,6272.55952483516,20176844
"2",2006,16.4340659340661,31.0142857142857,3360.92523659344,6342.72102657143,20450966
"3",2007,16.8010989010991,30.9406593406593,3499.26937096707,6444.20357178022,20827622
"4",2008,17.168131868132,30.867032967033,3648.09050524179,6558.99726056044,21249199
"5",2009,17.535164835165,30.7934065934066,3803.66710902202,6679.59890512088,21691653
"6",2010,17.9021978021979,30.7197802197802,3944.16746428573,6768.10517857143,22031750
"7",2011,18.2692307692308,30.6461538461538,4081.35053846155,6846.35812430769,22340024
"8",2012,18.6362637362638,30.5725274725274,4236.66849379122,6950.19483258241,22733465
"9",2013,19.0032967032968,30.4989010989011,4395.10697579122,7053.82518973625,23128129
"10",2014,19.3703296703297,30.4252747252747,4547.31777057144,7142.54195914285,23475686
"11",2015,19.7373626373626,30.3516483516483,4700.64929884614,7228.54705384614,23815995
"12",2016,20.1043956043956,30.2780219780219,4863.43564357142,7324.52813814284,24190907
"13",2017,20.4714285714285,30.2043956043956,5036.35219714285,7430.84312043955,24601860
"14",2018,20.8384615384615,30.1307692307692,5206.00783015384,7527.47606892306,24982688
"15",2019,21.2054945054945,30.0571428571428,5378.62672724175,7623.78598971427,25364307
"16",2020,21.5725274725273,29.9835164835164,5471.72209579117,7605.11117027471,25364307
"17",2021,21.9395604395603,29.90989010989,5564.81746434062,7586.43635083514,25364307
"18",2022,22.3065934065933,29.8362637362636,5657.91283289007,7567.76153139558,25364307
"19",2023,22.6736263736262,29.7626373626373,5751.00820143953,7549.08671195602,25364307
"20",2024,23.0406593406592,29.6890109890109,5844.10356998898,7530.41189251646,25364307
"21",2025,23.4076923076922,29.6153846153845,5937.19893853843,7511.73707307689,25364307
"22",2026,23.774725274725,29.5417582417581,6030.29430708785,7493.06225363734,25364307
"23",2027,24.141758241758,29.4681318681318,6123.3896756373,7474.38743419778,25364307
