"","dem_index","pif_ac","pif_ac_se","pif_ihd","pif_ihd_se","pif_neo","pif_neo_se","pif_lc","pif_lc_se","pif_stroke","pif_stroke_se","pif_t2d","pif_t2d_se","pif_breast","pif_breast_se","pif_colon","pif_colon_se","pif_endo","pif_endo_se"
"1",1,0.0140705914944537,0.00811050340867677,0.0174154849264026,0.00744687683066647,0.00910466683390874,0.00433356574602213,0.00662360401592582,0.00362387756613253,0.0230237768776135,0.0100537703088776,0.0206678227649155,0.0102662009639777,0.00657190119373525,0.00279052507184106,0.0110167152825668,0.00480195952630194,0.00969530406717817,0.00510594550777351
"2",2,0.048984103307369,0.0115334996841393,0.053518538270565,0.0113814611966894,0.0311410091998727,0.00658057943844637,0.0192972500129615,0.00501873971113155,0.078164170937052,0.0149869056765717,0.0830971628921472,0.0166384006018375,0.0240408509482016,0.00476916786040352,0.0388555770772812,0.00783783080252982,0.0354912989883157,0.00755426923183138
"3",3,0.0474468317623566,0.00815778429967996,0.0489094264986382,0.00762891481136841,0.0267802346778098,0.00410217412166759,0.0218966082689265,0.00410144470327636,0.0650307329694251,0.00974866807134699,0.0625395943646205,0.00899721578472766,0.0169755852549594,0.00239455666856549,0.0300332072318779,0.00429107211428757,0.029991373123357,0.0046665170003508
"4",4,0.0446700045466604,0.0079080360683901,0.0534794165838217,0.00849319600465379,0.0296242261742282,0.00459749199582864,0.0192229680113282,0.00367722919641717,0.0755396365761964,0.0119266319671473,0.0762985856910306,0.0110994011059601,0.0229796227477711,0.00335042494214052,0.0373806926966335,0.00552654451334987,0.0322448761379481,0.00509016603398714
"5",5,0.0416741958575482,0.00780300810089871,0.0435371309327958,0.00778293450812855,0.0239842091182134,0.00427329265474961,0.019082483245019,0.00369583180473514,0.0578885335557456,0.0106910664762506,0.0569788994485962,0.0100700745291102,0.0156308557495647,0.00287989050151272,0.0271487881128565,0.00487922225901065,0.0268248267554981,0.00484176219241088
"6",6,0.0441813028928035,0.00913960634140512,0.0608917912590475,0.00949695429988434,0.0312701014793772,0.00508508385567969,0.0199130039187464,0.00439707804146247,0.087908939124841,0.012751053537481,0.0846429388670242,0.0123346676918915,0.0251357837653328,0.00349403143401617,0.0410053767665507,0.00589329079912518,0.0322387460090567,0.00565407521912841
"7",7,0.0540197449691229,0.00929994670697111,0.0583190549891075,0.0093308977952525,0.031904857423362,0.005163032900166,0.0241717912616619,0.00436875851692928,0.0778114317890097,0.0124986872546644,0.0775738464375168,0.0122118471895375,0.0215974740429379,0.00358436029693246,0.0370167832382136,0.00599578064651515,0.0355338904098379,0.0058397052853296
"8",8,0.0537569934039685,0.00819966729291547,0.0640925347702459,0.00838016800528366,0.0341242422957291,0.00456707853602853,0.024024706069078,0.00394097661751963,0.0897913330907875,0.0111237082032816,0.0884243987961974,0.0106739926838361,0.0250437444039701,0.00308517209905077,0.0418497911003057,0.00522539624267818,0.0368465888175414,0.00508633061105335
"9",9,0.0693676511404079,0.00987310410056786,0.0689756534125832,0.00965726889535383,0.0380057134135142,0.00530599523050034,0.0326564169526867,0.00477224938365021,0.088583100186758,0.0124917982091361,0.0863327332201034,0.0117326900539825,0.0228838035316024,0.00326634390259986,0.0410510137338386,0.00575337941273759,0.0429190394304592,0.00600456437934414
"10",10,0.0852021197742304,0.0105500331908741,0.0980464524058343,0.0106688795570404,0.0525647761696164,0.00581651010607071,0.0390237655105657,0.00513776703827761,0.133704970091784,0.0141904651690636,0.130887116839801,0.0137569958283415,0.0370359786117126,0.00387962497909053,0.0626874996461838,0.00660259126756402,0.0569968388827643,0.00647797403196142
"11",11,0.081013162641034,0.00985330591205294,0.08460049319661,0.00919645525985456,0.0458886876042192,0.00503832435474236,0.0377924131677483,0.00477763635852972,0.111622223000344,0.0118937559750327,0.10513272831456,0.0119133966040962,0.0288236576045509,0.00322212323135715,0.0511545645043622,0.00553759069103789,0.0510411815576732,0.00578716165317651
"12",12,0.06748355241122,0.00963602883057183,0.0813711256975214,0.00899184887306501,0.043739358271496,0.00496166128677659,0.0293044502588073,0.00478222188720689,0.114107360732872,0.0117412820287196,0.117674139686167,0.0117024708081704,0.0329339563446055,0.00316437726723287,0.0544687206586691,0.00542444343380186,0.0473050617111952,0.00565013683180633
"13",13,0.0709279006479299,0.0089305296668171,0.0737054285430429,0.00859694032643451,0.0399633930506703,0.00462180295879988,0.032785050184696,0.00449862788432312,0.0987340762033542,0.0114631660657306,0.0936213518711945,0.0105299747328389,0.0250608629132462,0.00302553999406216,0.0444946231228062,0.00513276369655577,0.0446469926144574,0.00521875910026814
"14",14,0.0842317293876892,0.00857638925794212,0.102154447159801,0.00888645873952839,0.0545713457240978,0.00484537711040903,0.0376913999075006,0.00412547334097125,0.140587521236106,0.0122487106531683,0.142634426742197,0.012378101933791,0.0408493558148956,0.00367885388656189,0.0677066679943883,0.00592252828690283,0.0583994655939521,0.00536938915791814
"15",15,0.0589637687632272,0.00840677675780049,0.06884927348861,0.00836915975133939,0.0366617336119438,0.00450405204736822,0.026959993779695,0.00404516764064224,0.0936423016271975,0.0116165456068833,0.0919272318532739,0.0112257559805997,0.0258758110107699,0.0032684604411582,0.0440195282081481,0.00538639631278854,0.0394688394202079,0.00506382520154732
"16",16,0.0625222679701289,0.00828956514589781,0.0780781316231728,0.00846121239790053,0.0407364655268438,0.00452634207130436,0.0282984479631278,0.00407775099540705,0.108742764357073,0.0115399726881303,0.107266549441089,0.0111144927371604,0.0303100723364797,0.00336270977753542,0.0506997335926477,0.00544987065086015,0.0431779678630035,0.00502882748165355
"17",17,0.060545097384968,0.00942206458081101,0.0649086022429767,0.00867084310138198,0.0349354839059571,0.00479191681163523,0.0281489418471979,0.00462866127262912,0.0868374891631071,0.0112109409598656,0.0830907886271245,0.0104944013248462,0.0225299640831934,0.00279077582193373,0.0396183915673676,0.0049927821020693,0.0386483776548754,0.00553132354272065
"18",18,0.0651287555046135,0.00762678862305689,0.0743211431403731,0.00815410733050305,0.0400788524807489,0.0044103810811152,0.0294888042838152,0.00363522927344617,0.10179567993355,0.0109488801836186,0.1007748116261,0.0106747571684298,0.0283827561048818,0.00311979467653288,0.0479561975575838,0.00521722098608534,0.0436685686395195,0.00484836577190591
"19",19,0.0800526386468206,0.00999875548214888,0.0832300166172787,0.00987652964073611,0.0443203577279419,0.00525770082247926,0.03839592747735,0.004977880307558,0.108026282080968,0.0127282106622296,0.102985763318559,0.0119763583444243,0.0266157949091867,0.00321660127127684,0.0482628635327427,0.00566939876786548,0.049072924583053,0.00589425561676321
"20",20,0.0493420108838588,0.00740714506224031,0.0567114784024063,0.00800415431092809,0.0307318731807125,0.0042335138835319,0.0216859328136815,0.00348817725555985,0.0770723005704488,0.0117023650083421,0.0822969788912629,0.0110163078856601,0.0222392897818202,0.00322947851162918,0.037196725333165,0.00528928862058989,0.0337171859549114,0.00465256624487042
"21",21,0.0487996353649409,0.0102585691199884,0.0612909137912254,0.0113305669326097,0.032566722838622,0.00597667167269579,0.022019200132346,0.00478766123042463,0.0854481923179443,0.016264020900571,0.0836976747911685,0.0150176071424151,0.0249066514089543,0.00450838082029242,0.0408583934620926,0.00742182782396962,0.0348251309682828,0.00652796749188051
"22",22,0.0642369048239409,0.00935904453628488,0.084115626449636,0.0103710998578725,0.0438393449015108,0.00554058129048616,0.0295600796542873,0.00451067618325077,0.11525281323114,0.0140237796992655,0.11916267800435,0.0137298689169281,0.0340280769631604,0.00407376687161203,0.055883317150599,0.00671606542111565,0.0453403274749255,0.00597060026499643
"23",23,0.0731698270381682,0.0106385797526007,0.0876290891591703,0.0109379699060034,0.0463928755395064,0.00586963479542534,0.0331097545109234,0.00518374472794009,0.119301817621974,0.0149022420454645,0.121351576351519,0.0151411615680033,0.0338829219969275,0.00430587484893533,0.0568887689153593,0.0070442285311048,0.0497622869714929,0.00649307589715524
"24",24,0.0818180003582344,0.0126748325612214,0.0940124438012784,0.0132407786962831,0.0503229867160284,0.00706885503222844,0.0380155555887647,0.00608972920422263,0.12758631784206,0.0175188456740469,0.126690381879264,0.0174747732941107,0.0352706037994331,0.00487843985542311,0.0598578775592198,0.00824540364690982,0.0543224729350479,0.00784572045308569
"25",25,0.0808144718846139,0.0121528194349453,0.100664740563223,0.0124005271448105,0.0517648974469473,0.00648443840664386,0.0366917373092011,0.00616048231643298,0.142454362653789,0.0173068103829764,0.129016439226241,0.0155567046994047,0.0378689971405211,0.00484486200180065,0.0638941414565302,0.00781418108347771,0.0550588373655643,0.00716777045012879
"26",26,0.0609022645476602,0.0124864171830802,0.0676087727869576,0.0126444386681093,0.0363436068557381,0.00687283960326786,0.0285147507117875,0.00608013185280735,0.0919601945556361,0.0165001158699403,0.0884259158869561,0.0150791114883476,0.0244242031434829,0.00437534247978475,0.0420287244235334,0.00759749737736096,0.039698698841052,0.00763245243982114
"27",27,0.0984078753682569,0.0162065727465399,0.101048436707956,0.0163003227567116,0.0560084724912072,0.00899395950893429,0.0453828257263011,0.00773016692124906,0.135854910762167,0.0213437771344446,0.128705668948741,0.0206055408025374,0.0361561292740596,0.00590264626725942,0.0629305254426975,0.0100849076686523,0.0630292765788652,0.0101350633391026
"28",28,0.0744093974991099,0.015747269319996,0.0786423171102348,0.0162258656535906,0.0423838944981636,0.00874708794230786,0.0356740558821982,0.00771334590738282,0.103716436372242,0.0210091234472223,0.0973377779531405,0.0193909997275077,0.0267129221253098,0.00551550692701166,0.0472354338471838,0.00965034969535308,0.0466056810833984,0.00965254366804305
"29",29,0.0470360654175233,0.0188783435549046,0.0686857567833427,0.0199898158225118,0.034043808143824,0.0106051066151442,0.0224358792848512,0.00879538571380169,0.0987939028248422,0.0294800788569142,0.0839090381685879,0.0261931390795048,0.0272750392153419,0.00867364474730428,0.0448792858135606,0.0137435675267265,0.0339777051544934,0.0116300911065047
"30",30,0.0791889441157358,0.0241160846556747,0.0877724922935495,0.0245012062274041,0.0461443214958447,0.0125889263602399,0.0383544284200985,0.0127988956585841,0.114588749254293,0.0312230011850916,0.108116880847364,0.0298812800679559,0.0298443856571584,0.00859579252992504,0.0524095260031606,0.0142807670125409,0.0495794801851854,0.0135420757821158
"31",31,0.0793506306211001,0.0326572682676197,0.0841117789503758,0.0326024902833076,0.0447232466651711,0.0172401196281185,0.0379061988469972,0.016743477989654,0.110109038951772,0.0427513568141164,0.108713631795012,0.0448198905784295,0.0275426857117461,0.0119147471382598,0.049386588574931,0.0197116667191343,0.0490657416253257,0.0189837259678281
"32",32,0.0392260861835647,0.0184262652296162,0.0334187053243243,0.0168900848123794,0.0199968972238398,0.00962418096987066,0.0186574977088359,0.00880707381989577,0.0415435859872916,0.0216380000543426,0.0428793715755938,0.0206271837018721,0.0107987546468404,0.00544562186648028,0.0201095340593255,0.0099536000546991,0.0233523765951303,0.0110950418783671
"33",33,0.0624978995025967,0.05577784400279,0.0554971912609702,0.0495298834262227,0.0288282189891083,0.025728479108101,0.0334526599777679,0.0298556793839254,0.0645505504058726,0.0576097846405766,0.0534226606787572,0.0476784157110735,0.010844738187002,0.00967866311763911,0.025069116890425,0.0223735725893273,0.0323912019964239,0.0289083541430753
"34",34,0.096360943439993,0.0645335726977674,0.0833338050103292,0.0557943481102094,0.0454436373360455,0.0304495449736356,0.0500387952357935,0.0334689746827867,0.0994708939224505,0.0666377108525491,0.0867883468550183,0.0582017239594578,0.0184809757799649,0.0124063040126394,0.0403532980474232,0.0270540671490538,0.0520900743548468,0.0349174518504641
