"","sex","Proportion","Population","Surveyed","Time walking mean","Time walking mean_se","Walking quantiles_q25","Walking quantiles_q50","Walking quantiles_q75","Time cycling mean","Cycling quantiles_q25","Cycling quantiles_q50","Cycling quantiles_q75"
"1","female","52.03%",540071.26,3776,1.2296,0.0576,0,0,1.1667,0.0787,0,0,0
"2","male","47.97%",497878.09,3341,1.0931,0.0613,0,0,0.2333,0.2044,0,0,0
