"","sex","Proportion","Population","Surveyed","Time walking mean","Time walking mean_se","Walking quantiles_q25","Walking quantiles_q50","Walking quantiles_q75","Time cycling mean","Cycling quantiles_q25","Cycling quantiles_q50","Cycling quantiles_q75"
"1","female","52.03%",540071.26,3776,0.6548,0.0278,0,0,0.6667,0.0481,0,0,0
"2","male","47.97%",497878.09,3341,0.5643,0.0276,0,0,0.0756,0.1086,0,0,0
